title,description,responsibilities,qualifications,category,location,job_type,job_nature,salary,company_name,vacancy,published_on,deadline,company_description,image,admin_id,latitude,longitude
Load Carrier ,NA,NA,NA,dailywages,"Guindy,Chennai",Part-time,office,500,NA,5,2025-05-17,2025-05-19,NA,uploads\LOAD.jpg,1,13.134712,80.0363696
HAIRCUT,NA,NA,NA,dailywages,"Velachery,chennai",Part-time,office,1000,MADDY SALOON,1,2025-05-17,2025-05-20,NA,uploads\HAIR.webp,1,13.134712,80.0363696
HAIRCUT,NA,NA,NA,dailywages,"Velachery,chennai",Part-time,office,1000,MADDY SALOON,1,2025-05-17,2025-05-20,NA,uploads\HAIR.webp,1,13.134712,80.0363696
HAIRCUT,NA,NA,NA,dailywages,"Velachery,chennai",Part-time,office,1000,MADDY SALOON,1,2025-05-17,2025-05-20,NA,uploads\HAIR.webp,1,13.134712,80.0363696
PAINTING,NA,NA,2+,dailywages,"Guindy,Chennai",Contract,office,80000,DACDEVELOPERS,5,2025-05-15,2025-05-17,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
PAINTING,NA,NA,2+,dailywages,"Guindy,Chennai",Contract,office,80000,DACDEVELOPERS,5,2025-05-15,2025-05-17,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
PAINTING,NA,NA,2+,dailywages,"Guindy,Chennai",Contract,office,80000,DACDEVELOPERS,5,2025-05-15,2025-05-17,NA,uploads\istockphoto-938085736-612x612.jpg,1,13.134712,80.0363696
CONSTRUCTION ,NA,NA,5+,dailywages,"Tambaram,chennai",Contract,office,20000,NA,8,2025-05-17,2025-05-20,NA,uploads\civil-construction-work.jpg,1,13.134712,80.0363696
CONSTRUCTION ,NA,NA,5+,dailywages,"Tambaram,chennai",Contract,office,20000,NA,8,2025-05-17,2025-05-20,NA,uploads\civil-construction-work.jpg,1,13.134712,80.0363696
CONSTRUCTION ,NA,NA,5+,dailywages,"Tambaram,chennai",Contract,office,20000,NA,8,2025-05-17,2025-05-20,NA,uploads\civil-construction-work.jpg,1,13.134712,80.0363696
Driver,Experience : 5+ years.,Don't Drink and Drive,12th,dailywages,"Avadi,Chennai",Full-time,office,800,Sriram Drivers,20,2025-05-08,2025-05-30,"Safe Drive, don't drink and drive",uploads\car driver.png,2,13.1039232,80.2553856
Driver,Experience : 5+ years.,Don't Drink and Drive,12th,dailywages,"Avadi,Chennai",Full-time,office,800,Sriram Drivers,20,2025-05-08,2025-05-30,"Safe Drive, don't drink and drive",uploads\car driver.png,2,13.1039232,80.2553856
Driver,Experience : 5+ years.,Don't Drink and Drive,12th,dailywages,"Avadi,Chennai",Full-time,office,800,Sriram Drivers,20,2025-05-08,2025-05-30,"Safe Drive, don't drink and drive",uploads\car driver.png,2,13.1039232,80.2553856
carpenter,carpenter is need,na,0,dailywages,"Guindy,Chennai",Full-time,office,5000,na,1,2025-05-23,2025-05-26,na,uploads\carpentry.webp,3,13.1039232,80.2553856
carpenter,carpenter is need,na,0,dailywages,"Guindy,Chennai",Full-time,office,5000,na,1,2025-05-23,2025-05-26,na,uploads\carpentry.webp,3,13.1039232,80.2553856
carpenter,carpenter is need,na,0,dailywages,"Guindy,Chennai",Full-time,office,5000,na,1,2025-05-23,2025-05-26,na,uploads\carpentry.webp,3,13.1039232,80.2553856
Mechanic,Experience : 3+,Enhance in Mechanic,12th,dailywages,"Mambalam,Chennai",Part-time,Construction site,900,Techie constrcution,5,2025-05-08,2025-05-28,All Shifts ,uploads\mechanic.jpg,4,13.1039232,80.2553856
Mechanic,Experience : 3+,Enhance in Mechanic,12th,dailywages,"Mambalam,Chennai",Part-time,Construction site,900,Techie constrcution,5,2025-05-08,2025-05-28,All Shifts ,uploads\mechanic.jpg,4,13.1039232,80.2553856
Mechanic,Experience : 3+,Enhance in Mechanic,12th,dailywages,"Mambalam,Chennai",Part-time,Construction site,900,Techie constrcution,5,2025-05-08,2025-05-28,All Shifts ,uploads\mechanic.jpg,4,13.1039232,80.2553856
